the_geom,cartodb_id,the_geom_webmercator,record_id,station_key,station_id,name,road_name,full_name,common_road_name,secondary_name,road_name_base,road_name_type,intersection,distance_to_intersection,road_number,link_number,mab_way_type,mab_way_number,mab_identifier,road_functional_hierarchy,road_on_type,lane_count,road_classification_type,road_classification_admin,rms_region,lga,suburb,post_code,device_type,heavy_vehicle_checking_station,permanent_station,vehicle_classifier,lambert_easting,lambert_northing,wgs84_latitude,wgs84_longitude,direction_seq,quality_rating,publish,md5,updated_on
,5557,,,15828002,7211,Lily Lane,Lily Lane,"Lily Lane, South of Fern Circuit",Lily Lane,South of Fern Circuit,Lily,Lane,Fern Circuit,40,-10,-10,NULL,NULL,NULL,Local Road,OnGround,OneLane,Lane,Local,Hunter,Newcastle,Adamstown,2289,Tirtl,false,1,1,9740191,4524353.5,-32.940571,151.71312,7,5,true,be6e76534a9cbe57941a6971d910a6eb,2018-06-12 02:48:41.978017+00
,5558,,,58612,97340,Oxley Avenue,Oxley Avenue,"Oxley Avenue, North of High Street",Oxley Avenue,North of High Street,Oxley,Avenue,High Street,60,0000080,0340,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Avenue,Regional,South West,Carrathool,Hillston,2675,Trafficorder Tube Axlepair Counter,false,0,0,9163953,4473475.5,-33.480766,145.534805,9,5,true,417b961c9a41b3a2f7ce41fa423d8977,2018-06-12 02:48:41.978017+00
,5559,,,56692,19035,Sydenham Road,Sydenham Road,"Sydenham Road, West of Victoria Road",Sydenham Road,West of Victoria Road,Sydenham,Road,Victoria Road,20,0000664,0070,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Road,State,Sydney,Marrickville,Marrickville,2204,Trafficorder Tube Axlepair Counter,false,0,0,9684475,4419245,-33.90963,151.162048,10,5,true,710efc78db32af23f3a6ed4870bc7aeb,2018-06-12 02:48:41.978017+00
,5560,,,58856,99931,Castlereagh Highway,Castlereagh Highway,"Castlereagh Highway, South of Abattoirs Road",Castlereagh Highway,South of Abattoirs Road,Castlereagh,Highway,Abattoirs Road,110,0000018,1180,B,55,B55,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Western,Mid-Western Regional,Menah,2850,Trafficorder Dual Tube Classifier,false,0,1,9539223,4573615.5,-32.559254,149.549698,9,5,true,4dbb7f7bd091635de8b3a10399455245,2018-06-12 02:48:41.978017+00
,5561,,,56098,05622,Hanbury Street,Hanbury Street,"Hanbury Street, East of Waratah Street",Hanbury Street,East of Waratah Street,Hanbury,Street,Waratah Street,20,0000326,0130,B,63,B63,Arterial Road,OnGround,TwoOrMoreLanes,Street,State,Hunter,Newcastle,Mayfield,2304,Trafficorder Tube Axlepair Counter,false,0,0,9742526,4528977,-32.897934,151.73584,9,5,true,b5b01373fb1bc06495989748e45e918b,2018-06-12 02:48:41.978017+00
,5562,,,58444,96186,Mitchell Highway,Mitchell Highway,"Mitchell Highway, North of Darling Street",Mitchell Highway,North of Darling Street,Mitchell,Highway,Darling Street,1360,0000007,1230,B,71,B71,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Western,Bourke,North Bourke,2840,Trafficorder Dual Tube Classifier,false,0,0,9199954,4855579,-30.037298,145.963333,9,5,true,013642b22e63df7699c6d9fe5017d7e9,2018-06-12 02:48:41.978017+00
,5563,,,57257,66249,Fairfield Street,Fairfield Street,"Fairfield Street, East of Cockburn Crescent","Fairfield.fairfield St, Fairfield",East of Cockburn Crescent,Fairfield,Street,Cockburn Crescent,30,0007232,0020,NULL,NULL,NULL,Distributor Road,OnGround,TwoOrMoreLanes,Street,Regional,Sydney,Fairfield,Fairfield East,2165,Tirtl,false,1,1,9666310,4424422,-33.869324,150.963486,10,4,true,9e7eaadffe38cce948afa5cdce638df4,2018-06-12 02:48:41.978017+00
,5564,,,58363,95608,Pine Avenue,Pine Avenue,"Pine Avenue, East of Maple Street",Pine Avenue,East of Maple Street,Pine,Avenue,Maple Street,90,0000080,0090,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Avenue,State,South West,Leeton,Leeton,2705,Trafficorder Tube Axlepair Counter,false,0,0,9245405,4355588.5,-34.551659,146.404755,10,5,true,ac1515d3194be3dbd9f34eecc6256eac,2018-06-12 02:48:41.978017+00
,5565,,,58624,97442,Whitton Darlington Point Road,Whitton Darlington Point Road,"Whitton Darlington Point Road, East of Narrand Street",Whitton Darlington Point Road,East of Narrand Street,Whitton Darlington Point,Road,Narrand Street,590,0000539,0040,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Road,Regional,South West,Murrumbidgee,Darlington Point,2706,Trafficorder Tube Axlepair Counter,false,0,1,9210092,4353866.5,-34.564789,146.019592,10,5,true,15f9138771bf783e76d3cc07bbd2e187,2018-06-12 02:48:41.978017+00
,5566,,,58073,94093,Cunningar Road,Cunningar Road,"Cunningar Road, West of Lachlan Valley Way",Cunningar Road,West of Lachlan Valley Way,Cunningar,Road,Lachlan Valley Way,910,0000380,0010,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Road,Regional,South West,Boorowa,Boorowa,2586,Trafficorder Tube Axlepair Counter,false,0,1,9455610,4364019.5,-34.465618,148.694977,10,5,true,9b0196dddf6eb0bba08bb839a791cffd,2018-06-12 02:48:41.978017+00
